,month,date,seoul,busan,daegu,incheon,gwangju,daejon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,202208,18,8258586.967741936,6999.225806451613,4430.387096774193,59377.354838709674,3733.225806451613,5607.193548387096,1964.709677419355,3528.2258064516127,562262.1290322581,25036.8064516129,11834.483870967742,15849.16129032258,7520.064516129032,6808.064516129033,8825.322580645163,7020.1612903225805,5224.935483870968
0,202201,28,8339316.77419355,7010.903225806451,4094.9032258064517,51852.032258064515,3439.548387096774,5434.870967741935,2087.2903225806454,3124.548387096774,475606.0,18963.35483870968,9054.258064516129,12605.483870967742,5827.032258064517,5596.41935483871,6689.74193548387,6775.677419354839,4754.548387096775
0,202206,21,8268944.699999999,6594.5,4020.5,59476.5,3416.899999999999,5563.099999999999,1774.4999999999998,3240.5,560630.9,24636.7,10608.2,14848.699999999999,6130.599999999999,5737.0,7737.200000000001,6373.2,5437.5
0,202208,24,8244801.29032258,7084.967741935485,4462.516129032258,60101.8064516129,3734.9677419354834,5671.258064516128,1979.6129032258066,3547.967741935484,568468.8387096773,24570.74193548387,12063.645161290322,16167.548387096775,7665.41935483871,6899.419354838709,8934.09677419355,7050.548387096774,5097.580645161291
0,202201,14,8315212.387096774,7150.451612903226,4416.451612903225,52561.51612903226,3642.7741935483878,5480.935483870969,2242.645161290323,3187.7741935483873,486806.0,19963.67741935484,9536.129032258064,13307.741935483871,6228.5161290322585,6083.709677419355,7355.870967741936,7282.8387096774195,4915.774193548387
0,202208,30,8231015.612903227,7170.709677419356,4494.645161290322,60826.25806451612,3736.7096774193556,5735.322580645161,1994.516129032258,3567.7096774193546,574675.5483870967,24104.67741935484,12292.806451612905,16485.93548387097,7810.774193548387,6990.774193548387,9042.870967741936,7080.935483870968,4970.225806451614
0,202211,11,8286125.533333332,5825.1,3826.3999999999996,60062.66666666667,3073.2000000000003,5576.9,1730.3,3270.3,568451.8,20924.333333333336,10764.6,14756.833333333334,6262.333333333333,5133.166666666666,7278.6,5878.1,4430.666666666668
0,202211,13,8297239.266666669,5857.299999999999,3869.2000000000003,59821.333333333336,3105.5999999999995,5608.7,1746.8999999999999,3282.9,565563.4,21013.666666666664,10739.8,14637.166666666668,6239.666666666668,5142.833333333333,7269.799999999999,5880.299999999999,4473.333333333332
0,202211,8,8269454.9333333345,5776.8,3762.2000000000003,60424.666666666664,3024.6,5529.2,1705.3999999999999,3251.3999999999996,572784.3999999999,20790.333333333332,10801.8,14936.333333333332,6296.333333333334,5118.666666666667,7291.799999999999,5874.800000000001,4366.666666666667
0,202202,2,8347951.285714287,6795.5714285714275,3947.0714285714284,51765.78571428571,3334.0000000000005,5348.428571428572,1999.7857142857147,3078.571428571429,474353.07142857136,18542.0,8915.142857142857,12384.785714285714,5634.500000000001,5367.0,6445.571428571428,6478.857142857142,4633.142857142857
0,202208,26,8240206.064516129,7113.548387096775,4473.225806451613,60343.290322580644,3735.5483870967737,5692.612903225806,1984.5806451612905,3554.548387096774,570537.7419354839,24415.387096774193,12140.032258064515,16273.677419354837,7713.870967741936,6929.870967741936,8970.354838709676,7060.677419354839,5055.129032258065
0,202201,16,8318655.870967741,7130.516129032258,4370.516129032258,52460.161290322576,3613.7419354838703,5474.354838709677,2220.4516129032254,3178.7419354838707,485206.0,19820.774193548386,9467.290322580646,13207.419354838708,6171.161290322581,6014.096774193549,7260.709677419354,7210.387096774193,4892.74193548387
0,202206,23,8270731.433333334,6649.5,4059.4999999999995,59432.83333333333,3442.0333333333338,5567.299999999998,1776.1666666666667,3244.166666666667,560062.0333333333,24758.766666666663,10608.6,14868.766666666668,6167.133333333333,5778.333333333334,7724.9333333333325,6444.933333333333,5489.166666666667
0,202204,4,8210658.999999999,4887.8,3421.3333333333335,59843.93333333333,2681.2,4720.466666666667,1396.9333333333332,2936.8,561673.3999999999,19915.933333333334,10029.666666666664,14139.266666666666,5563.2,5083.533333333333,6649.599999999999,5129.333333333334,4277.533333333333
0,202203,13,8317738.806451613,4534.290322580646,3108.4516129032263,55487.70967741935,2539.7419354838717,4480.483870967742,1331.4838709677417,2742.1290322580644,518306.16129032255,17390.032258064515,8994.161290322583,12480.548387096773,4770.8387096774195,4290.935483870968,5706.129032258064,4419.225806451613,3821.451612903226
0,202204,26,8195259.0,5695.200000000001,3714.6666666666665,61972.06666666667,3369.8,5069.533333333333,1479.0666666666666,3359.2,579033.6000000001,22088.066666666666,11573.333333333336,15581.733333333334,5954.8,5262.466666666667,7428.400000000001,6093.666666666667,4368.466666666667
0,202206,6,8255544.199999999,6182.0,3728.0,59804.0,3228.399999999999,5531.599999999999,1761.9999999999998,3213.0,564897.4,23721.2,10605.2,14698.2,5856.6,5427.0,7829.200000000001,5835.2,5050.0
0,202208,9,8279265.483870967,6870.612903225807,4382.193548387097,58290.67741935483,3730.6129032258063,5511.096774193548,1942.3548387096773,3498.6129032258063,552952.064516129,25735.90322580645,11490.741935483871,15371.580645161288,7302.032258064516,6671.032258064516,8662.161290322581,6974.580645161291,5415.967741935483
0,202208,8,8281563.0967741925,6856.322580645161,4376.8387096774195,58169.93548387097,3730.3225806451615,5500.419354838709,1939.8709677419354,3495.3225806451615,551917.6129032258,25813.58064516129,11452.548387096773,15318.516129032258,7277.806451612903,6655.8064516129025,8644.032258064517,6969.5161290322585,5437.1935483870975
0,202206,7,8256437.566666666,6209.5,3747.5,59782.16666666667,3240.9666666666667,5533.700000000001,1762.8333333333333,3214.833333333333,564612.9666666667,23782.233333333337,10605.400000000001,14708.233333333334,5874.866666666667,5447.666666666666,7823.0666666666675,5871.066666666667,5075.833333333333
0,202204,27,8194559.0,5731.9,3728.0,62068.8,3401.1,5085.400000000001,1482.7999999999997,3378.4,579822.7,22186.800000000003,11643.5,15647.300000000001,5972.6,5270.6,7463.8,6137.500000000001,4372.6
0,202203,12,8323532.129032258,4522.806451612903,3094.032258064516,55267.19354838709,2538.83870967742,4470.67741935484,1328.6774193548385,2735.5806451612907,516072.22580645164,17271.645161290326,8952.225806451614,12402.967741935483,4730.774193548386,4248.709677419354,5661.58064516129,4389.516129032258,3797.0322580645166
0,202204,5,8209959.0,4924.5,3434.6666666666665,59940.666666666664,2712.4999999999995,4736.333333333333,1400.666666666667,2955.9999999999995,562462.5,20014.666666666664,10099.833333333334,14204.833333333334,5581.0,5091.666666666667,6685.0,5173.166666666667,4281.666666666667
0,202206,22,8269838.066666666,6622.0,4040.0,59454.66666666667,3429.4666666666667,5565.200000000001,1775.3333333333333,3242.333333333333,560346.4666666667,24697.73333333333,10608.4,14858.733333333334,6148.866666666667,5757.666666666666,7731.0666666666675,6409.066666666667,5463.333333333333
0,202201,17,8320377.612903226,7120.548387096774,4347.548387096775,52409.48387096774,3599.2258064516127,5471.064516129031,2209.354838709677,3174.2258064516127,484406.0,19749.32258064516,9432.870967741936,13157.258064516129,6142.4838709677415,5979.290322580645,7213.129032258064,7174.1612903225805,4881.225806451613
0,202208,27,8237908.451612901,7127.8387096774195,4478.580645161291,60464.032258064515,3735.8387096774195,5703.290322580644,1987.064516129032,3557.8387096774195,571572.1935483871,24337.709677419356,12178.225806451612,16326.741935483871,7738.096774193548,6945.096774193548,8988.483870967742,7065.741935483871,5033.903225806452
0,202202,3,8349685.928571428,6702.857142857143,3907.607142857143,51798.678571428565,3303.0000000000005,5310.142857142858,1972.6785714285716,3062.3571428571427,474926.60714285716,18438.5,8897.214285714284,12349.67857142857,5581.25,5304.5,6394.857142857143,6384.785714285714,4589.714285714285
0,202211,9,8275011.8,5792.9,3783.6000000000004,60304.0,3040.8,5545.1,1713.6999999999998,3257.7,571340.2000000001,20835.0,10789.400000000001,14876.5,6285.0,5123.500000000001,7287.400000000001,5875.9,4388.000000000001
0,202211,12,8291682.399999999,5841.200000000001,3847.8,59942.0,3089.3999999999996,5592.8,1738.6000000000001,3276.6000000000004,567007.6,20969.0,10752.2,14696.999999999998,6251.0,5138.0,7274.200000000001,5879.200000000001,4451.999999999999
0,202211,16,8313909.866666666,5905.6,3933.3999999999996,59459.33333333333,3154.2,5656.4,1771.8,3301.8,561230.8,21147.666666666664,10702.599999999999,14457.666666666668,6205.666666666666,5157.333333333333,7256.599999999999,5883.6,4537.333333333333
0,202202,7,8356624.5,6332.0,3749.75,51930.25,3179.0,5157.0,1864.25,2997.5,477220.75,18024.5,8825.5,12209.25,5368.25,5054.5,6192.0,6008.5,4416.0
0,202206,26,8273411.533333333,6732.0,4118.000000000001,59367.33333333333,3479.733333333333,5573.6,1778.6666666666667,3249.6666666666665,559208.7333333334,24941.86666666667,10609.199999999999,14898.866666666669,6221.933333333334,5840.333333333334,7706.533333333334,6552.533333333334,5566.666666666666
0,202208,23,8247098.9032258075,7070.677419354839,4457.1612903225805,59981.06451612903,3734.6774193548385,5660.580645161291,1977.1290322580646,3544.677419354839,567434.3870967742,24648.41935483871,12025.451612903227,16114.483870967742,7641.193548387097,6884.1935483870975,8915.967741935485,7045.4838709677415,5118.806451612903
0,202201,13,8313490.645161292,7160.41935483871,4439.419354838709,52612.1935483871,3657.2903225806454,5484.225806451612,2253.7419354838703,3192.2903225806454,487606.0,20035.12903225806,9570.548387096773,13357.903225806453,6257.193548387097,6118.516129032258,7403.451612903225,7319.064516129032,4927.290322580645
0,202204,1,8212759.000000001,4777.700000000001,3381.3333333333335,59553.73333333333,2587.3,4672.866666666668,1385.7333333333336,2879.2000000000003,559306.1,19619.733333333334,9819.166666666668,13942.566666666666,5509.8,5059.133333333333,6543.4,4997.833333333333,4265.133333333333
0,202204,23,8197358.999999999,5585.1,3674.666666666667,61681.86666666667,3275.9,5021.933333333333,1467.8666666666666,3301.6,576666.3,21791.86666666667,11362.833333333334,15385.033333333335,5901.4,5238.066666666667,7322.200000000001,5962.166666666668,4356.066666666666
0,202203,16,8300358.838709677,4568.741935483871,3151.709677419355,56149.25806451613,2542.451612903225,4509.903225806451,1339.903225806452,2761.7741935483873,525007.9677419355,17745.193548387095,9119.967741935485,12713.290322580648,4891.032258064516,4417.612903225806,5839.774193548388,4508.354838709677,3894.7096774193546
0,202206,3,8252864.1,6099.5,3669.5,59869.5,3190.7,5525.300000000001,1759.5000000000002,3207.5,565750.7,23538.1,10604.6,14668.1,5801.799999999999,5365.0,7847.599999999999,5727.6,4972.5
0,202206,2,8251970.733333333,6072.0,3649.9999999999995,59891.33333333333,3178.1333333333328,5523.2,1758.6666666666667,3205.6666666666665,566035.1333333333,23477.066666666666,10604.4,14658.066666666668,5783.533333333333,5344.333333333333,7853.733333333334,5691.733333333334,4946.666666666666
0,202203,17,8294565.516129034,4580.225806451613,3166.1290322580644,56369.77419354838,2543.3548387096776,4519.709677419355,1342.7096774193549,2768.322580645161,527241.9032258065,17863.580645161288,9161.90322580645,12790.870967741936,4931.096774193548,4459.8387096774195,5884.322580645161,4538.064516129032,3919.129032258065
0,202204,22,8198059.000000001,5548.4,3661.333333333333,61585.13333333333,3244.6,5006.066666666667,1464.1333333333337,3282.4,575877.2,21693.13333333333,11292.666666666666,15319.466666666665,5883.6,5229.933333333334,7286.799999999999,5918.333333333333,4351.933333333334
0,202201,12,8311768.903225808,7170.387096774193,4462.387096774194,52662.87096774193,3671.8064516129034,5487.5161290322585,2264.8387096774195,3196.8064516129034,488406.0,20106.58064516129,9604.967741935485,13408.064516129034,6285.870967741936,6153.322580645162,7451.032258064516,7355.290322580646,4938.8064516129025
0,202208,22,8249396.516129033,7056.387096774193,4451.806451612903,59860.32258064517,3734.3870967741937,5649.903225806452,1974.6451612903227,3541.387096774193,566399.935483871,24726.096774193546,11987.258064516129,16061.41935483871,7616.967741935484,6868.967741935484,8897.83870967742,7040.419354838709,5140.032258064517
0,202206,27,8274304.9,6759.5,4137.5,59345.5,3492.3,5575.699999999999,1779.5,3251.5,558924.3,25002.9,10609.4,14908.900000000001,6240.200000000001,5861.0,7700.400000000001,6588.4,5592.5
0,202202,6,8354889.857142858,6424.714285714286,3789.2142857142853,51897.357142857145,3210.0,5195.285714285714,1891.3571428571431,3013.714285714286,476647.2142857143,18128.0,8843.428571428572,12244.357142857141,5421.5,5117.0,6242.714285714285,6102.571428571429,4459.428571428572
0,202211,17,8319466.733333331,5921.7,3954.7999999999997,59338.666666666664,3170.4000000000005,5672.3,1780.1000000000001,3308.1000000000004,559786.6,21192.333333333336,10690.2,14397.833333333332,6194.333333333332,5162.166666666667,7252.200000000001,5884.700000000001,4558.666666666667
0,202211,29,8386149.133333334,6114.9,4211.6,57890.666666666664,3364.8,5863.1,1879.7,3383.7,542456.2,21728.333333333336,10541.400000000001,13679.833333333332,6058.333333333334,5220.166666666667,7199.4,5897.9,4814.666666666667
